COUNTY_CODE,TASK_CATEGORY,TASK_CAT_CODE,TASK_TYPE_CODE,TASK_TYPE,TASK_SUBTYPE,PROGRAM_CODE,AUTOMATED_MANUAL,SYS_TASK_IND,AVAIL_AUTO_IND,AVAIL_ONLINE_IND,USE_IND,STAT_CODE,STATUS_DECODE,TOTAL_TASK_COUNT,CREATED_COUNT,COMPLETED_COUNT,CLEARED_COMPLETED_VOIDED_EXPIRED_COUNT,MANUAL_COUNT,AUTOMATED_COUNT,OVERDUE_COUNT,NO_WORKER_COUNT,EXAMPLE_CASE_NUMBER,EXAMPLE_TASK_ID
36,Legacy,LC,84,Images Awaiting Review,WTW 753A,WT,Manual,N,Y,Y,Y,AS,Assigned,432,367,0,0,432,0,205,0,1193595,1224949040
36,Legacy,LC,68,Review,No Subtype,CW,Manual,N,Y,Y,Y,AS,Assigned,1173,366,0,0,1173,0,463,0,0193109,1195484937
36,Case Update,,,Change Address,No Subtype,CW,Manual,N,Y,Y,Y,AS,Assigned,891,364,0,0,891,0,707,0,0883434,1295846333
36,Self Service Portal Communications,YE,BV,Customer Appointment Requested Through Self Service Portal,No Subtype,CW,Manual,N,N,N,Y,AS,Assigned,579,358,0,0,579,0,439,0,0723084,1019541050
36,Self Service Portal Communications,YE,BW,Customer reported a change,No Subtype,CW,Manual,N,Y,N,Y,CO,Completed,727,355,727,727,727,0,555,0,0399922,1309238879
36,Legacy,LC,,Initiate IDT,No Subtype,MC,Manual,N,Y,Y,Y,CO,Completed,614,350,614,614,614,0,515,0,0389151,595962536
36,Legacy,LC,66,Report,Applicant IEVS,FC,Manual,N,Y,N,Y,AS,Assigned,412,344,0,0,412,0,120,0,2170503,1190948406
36,Legacy,LC,65,Ready to Process ,No Subtype,CF,Manual,N,Y,Y,Y,AS,Assigned,437,340,0,0,437,0,140,0,0369891,610796361
36,Legacy,LC,,MAGI Conditionally Eligible Status,No Subtype,MC,Manual,N,Y,N,Y,CO,Completed,1162,332,1162,1162,1162,0,373,0,0431043,1019169326
36,Legacy,LC,66,Report,PVS,CW,Manual,N,Y,N,Y,CO,Completed,1088,332,1088,1088,1088,0,509,0,0661296,607298601
36,Legacy,LC,,E-Signatures,Expired,CW,Manual,N,Y,N,Y,CO,Completed,463,325,463,463,463,0,354,0,0806435,1280001953
36,Legacy,LC,,Initiate ICT,No Subtype,CF,Manual,N,Y,Y,Y,AS,Assigned,550,323,0,0,550,0,478,0,0575503,610875065
36,Legacy,LC,,RC Verif Due,No Subtype,CF,Manual,N,N,Y,Y,AS,Assigned,516,323,0,0,516,0,337,0,0196916,1110987461
36,Legacy,LC,77,Verif Due,No Subtype,WT,Manual,N,Y,Y,Y,CO,Completed,809,317,809,809,809,0,601,0,0927860,1241140755
36,Legacy,LC,01,Absent Parent,No Subtype,CW,Manual,N,Y,N,Y,AS,Assigned,1053,313,0,0,1053,0,947,0,0392812,1239726158
36,Legacy,LC,,Rebudget,No Subtype,CF,Manual,N,N,Y,Y,CO,Completed,843,310,843,843,843,0,718,0,0167527,1057810857
36,Legacy,LC,84,Images Awaiting Review,WTW 735.2,WT,Manual,N,Y,Y,Y,CO,Completed,320,304,320,320,320,0,163,0,1452419,1315542415
36,Legacy,LC,68,Review,No Subtype,CC,Manual,N,Y,Y,Y,AS,Assigned,2350,303,0,0,2350,0,10,0,1250936,1159483192
36,Legacy,LC,79,Vital Stats,No Subtype,MC,Manual,N,Y,Y,Y,AS,Assigned,7305,297,0,0,7305,0,3854,0,0201485,537498975
36,Self Service Portal Communications,YE,BZ,Customer request BIC card replacement,No Subtype,CW,Manual,N,N,N,Y,CO,Completed,297,294,2,2,297,0,1,0,0470225,1148996982
36,Legacy,LC,73,Shelter/Utilities,No Subtype,CF,Manual,N,Y,Y,Y,AS,Assigned,1471,293,0,0,1471,0,706,0,0262611,605125807
36,Legacy,LC,,Add Person,No Subtype,MC,Manual,N,N,Y,Y,CO,Completed,820,289,820,820,820,0,698,0,0294698,1088395390
36,Legacy,LC,,Rebudget,No Subtype,MC,Manual,N,N,Y,Y,AS,Assigned,3502,288,0,0,3502,0,3447,0,0198543,591036519
36,Legacy,LC,,Add Person,No Subtype,CF,Manual,N,N,Y,Y,AS,Assigned,1013,287,0,0,1013,0,709,0,0259595,599196024
36,Legacy,LC,09,Application,No Subtype,CF,Manual,N,Y,Y,Y,CO,Completed,700,278,700,700,700,0,465,0,0414957,1275626149
36,Self Service Portal Communications,YE,BW,Customer reported a change,No Subtype,MC,Manual,N,Y,N,Y,CO,Completed,895,275,895,895,895,0,756,0,0544412,1310874847
36,Legacy,LC,,Initiate IDT,No Subtype,MC,Manual,N,Y,Y,Y,AS,Assigned,1946,255,0,0,1946,0,1797,0,0248132,569246969
36,Legacy,LC,66,Report,SAVE,CF,Manual,N,Y,N,Y,AS,Assigned,2294,252,0,0,2294,0,2182,0,0395602,577029259
36,Legacy,LC,66,Report,Applicant IEVS,FC,Manual,N,Y,N,Y,CO,Completed,509,247,509,509,509,0,308,0,2107414,1307250765
36,Legacy,LC,,Initiate ICT,No Subtype,CF,Manual,N,Y,Y,Y,CO,Completed,481,239,481,481,481,0,419,0,0423968,1188805393
36,Legacy,LC,10,Appt Needed,No Subtype,WT,Manual,N,Y,Y,Y,CO,Completed,1604,237,1604,1604,1604,0,1071,0,0477764,1166695742
36,Valuable,VL,VL1,Supervisor Authorization - Valuable,No Subtype,CW,Automated/System,Y,N,N,Y,CO,Completed,237,235,237,237,0,237,0,0,1094466,1320181834
36,Legacy,LC,18,Contact Client,No Subtype,WT,Manual,N,Y,Y,Y,AS,Assigned,1544,235,0,0,1544,0,34,0,0582915,1112754471
36,Legacy,LC,06,Age Change,No Subtype,MC,Manual,N,Y,Y,Y,AS,Assigned,5393,232,0,0,5393,0,2488,0,0335515,526317273
36,Legacy,LC,69,Sanction/Penalty,No Subtype,CW,Manual,N,Y,Y,Y,AS,Assigned,403,232,0,0,403,0,256,0,0798995,1104941302
36,Legacy,LC,65,Ready to Process ,No Subtype,MC,Manual,N,Y,Y,Y,CO,Completed,481,227,481,481,481,0,340,0,0510631,546896412
36,Legacy,LC,66,Report,NHR,MC,Manual,N,Y,N,Y,AS,Assigned,2053,222,0,0,2053,0,2052,0,0271778,572900515
36,Legacy,LC,,RE Verif Due,No Subtype,CW,Manual,N,N,Y,Y,CO,Completed,399,218,399,399,399,0,267,0,0493897,1255249389
36,Legacy,LC,84,Images Awaiting Review,Non-MAGI,MC,Manual,N,Y,Y,Y,AS,Assigned,1205,216,0,0,1205,0,1180,0,0170859,586095180
36,Legacy,LC,34,Graduation,No Subtype,CW,Manual,N,Y,Y,Y,AS,Assigned,744,214,0,0,744,0,692,0,0144518,1098971014
36,Legacy,LC,68,Review,No Subtype,AA,Manual,N,Y,Y,Y,AS,Assigned,3327,206,0,0,3327,0,32,0,2081911,600646910
36,Legacy,LC,,E-Signatures,Expired,CW,Manual,N,Y,N,Y,AS,Assigned,285,206,0,0,285,0,246,0,0996254,1259519984
36,Legacy,LC,,E-Signatures,Expired,CF,Manual,N,Y,N,Y,CO,Completed,315,204,315,315,315,0,229,0,0587101,1249459902
